,matches,company_number,address,links,snippet,description_identifier,description,kind,company_type,company_status,address_snippet,title,date_of_creation,date_of_cessation
14,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'locality': 'London', 'country': 'England', 'postal_code': 'WC2B 5SQ', 'premises': '55', 'address_line_1': 'Drury Lane', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
15,"{'title': [1, 5], 'snippet': [1, 5]}",07547510,"{'country': 'England', 'locality': 'London', 'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'premises': '55', 'postal_code': 'WC2B 5SQ'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
16,"{'snippet': [], 'title': [1, 5]}",08198098,"{'locality': 'London', 'country': 'England', 'address_line_1': 'Drury Lane', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
17,"{'title': [1, 5], 'snippet': []}",13767918,"{'address_line_1': 'Drury Lane 4th Floor', 'premises': '55', 'postal_code': 'WC2B 5SQ', 'country': 'United Kingdom', 'locality': 'London'}",{'self': '/company/13767918'},,['incorporated-on'],13767918 - Incorporated on 26 November 2021,searchresults#company,private-limited-guarant-nsc,active,"55 Drury Lane 4th Floor, London, United Kingdom, WC2B 5SQ",AMIUS TRUSTEE LIMITED,2021-11-26,
18,"{'snippet': [], 'title': [1, 5]}",11894148,"{'address_line_2': '4th Floor', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'premises': '55 ', 'country': 'England', 'locality': 'London'}",{'self': '/company/11894148'},,['dissolved-on'],11894148 - Dissolved on 13 October 2020,searchresults#company,ltd,dissolved,"55  Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SOURCING LIMITED,2019-03-20,2020-10-13
19,"{'snippet': [], 'title': [1, 5]}",08112276,"{'address_line_1': 'Berkeley Square', 'premises': '25 ', 'postal_code': 'W1J 6HN', 'locality': 'London'}",{'self': '/company/08112276'},,['dissolved-on'],08112276 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, W1J 6HN",AMIUS RISK MANAGEMENT LTD,2012-06-20,2015-01-13
20,"{'snippet': [], 'title': [1, 5]}",08787921,"{'country': 'England', 'locality': 'London', 'address_line_1': 'Berkeley Square', 'postal_code': 'W1J 6HN', 'premises': '25 '}",{'self': '/company/08787921'},,['dissolved-on'],08787921 - Dissolved on 13 January 2015,searchresults#company,ltd,dissolved,"25  Berkeley Square, London, England, W1J 6HN",AMIUS TRADING SOLUTIONS LIMITED,2013-11-25,2015-01-13
21,"{'snippet': [1, 5], 'title': [1, 5]}",03576013,"{'address_line_1': 'Drury Lane', 'premises': '55', 'country': 'England', 'locality': 'London', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor'}",{'self': '/company/03576013'},AMIUS INVESTOR SERVICES ,['incorporated-on'],03576013 - Incorporated on  4 June 1998,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS LIMITED,1998-06-04,
22,"{'snippet': [1, 5], 'title': [1, 5]}",07547510,"{'address_line_2': '4th Floor', 'postal_code': 'WC2B 5SQ', 'locality': 'London', 'country': 'England', 'premises': '55', 'address_line_1': 'Drury Lane'}",{'self': '/company/07547510'},AMIUS ,['incorporated-on'],07547510 - Incorporated on  1 March 2011,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS SERVICES LIMITED,2011-03-01,
23,"{'snippet': [], 'title': [1, 5]}",08198098,"{'premises': '55', 'country': 'England', 'address_line_1': 'Drury Lane', 'postal_code': 'WC2B 5SQ', 'address_line_2': '4th Floor', 'locality': 'London'}",{'self': '/company/08198098'},,['incorporated-on'],08198098 - Incorporated on 31 August 2012,searchresults#company,ltd,active,"55 Drury Lane, 4th Floor, London, England, WC2B 5SQ",AMIUS GROUP LTD,2012-08-31,
